epoch: 1, lr: 1.00e+00 - train loss: 11.50 - valid loss: 5.93, valid CER: 81.32, valid WER: 97.31
epoch: 2, lr: 1.00e+00 - train loss: 7.74 - valid loss: 5.42, valid CER: 79.59, valid WER: 98.99
epoch: 3, lr: 1.00e+00 - train loss: 6.53 - valid loss: 5.39, valid CER: 80.76, valid WER: 1.01e+02
epoch: 4, lr: 8.00e-01 - train loss: 5.63 - valid loss: 5.10, valid CER: 81.75, valid WER: 1.02e+02
epoch: 5, lr: 6.40e-01 - train loss: 5.19 - valid loss: 4.94, valid CER: 81.32, valid WER: 1.01e+02
epoch: 6, lr: 6.40e-01 - train loss: 4.52 - valid loss: 4.73, valid CER: 81.62, valid WER: 1.04e+02
epoch: 7, lr: 5.12e-01 - train loss: 4.21 - valid loss: 4.56, valid CER: 82.79, valid WER: 1.07e+02
epoch: 8, lr: 4.10e-01 - train loss: 4.02 - valid loss: 4.42, valid CER: 81.19, valid WER: 1.04e+02
epoch: 9, lr: 4.10e-01 - train loss: 3.87 - valid loss: 4.35, valid CER: 81.38, valid WER: 1.04e+02
epoch: 10, lr: 3.28e-01 - train loss: 3.74 - valid loss: 4.27, valid CER: 80.89, valid WER: 1.03e+02
epoch: 11, lr: 3.28e-01 - train loss: 3.65 - valid loss: 4.21, valid CER: 82.18, valid WER: 1.05e+02
epoch: 12, lr: 2.62e-01 - train loss: 3.54 - valid loss: 4.17, valid CER: 82.11, valid WER: 1.05e+02
epoch: 13, lr: 2.10e-01 - train loss: 3.46 - valid loss: 4.14, valid CER: 81.62, valid WER: 1.04e+02
epoch: 14, lr: 2.10e-01 - train loss: 3.41 - valid loss: 4.11, valid CER: 82.24, valid WER: 1.06e+02
epoch: 15, lr: 1.68e-01 - train loss: 3.35 - valid loss: 4.07, valid CER: 84.94, valid WER: 1.09e+02
epoch: 16, lr: 1.34e-01 - train loss: 3.31 - valid loss: 4.06, valid CER: 84.70, valid WER: 1.10e+02
epoch: 17, lr: 1.34e-01 - train loss: 3.26 - valid loss: 4.04, valid CER: 84.57, valid WER: 1.09e+02
epoch: 18, lr: 1.07e-01 - train loss: 3.22 - valid loss: 4.02, valid CER: 83.22, valid WER: 1.07e+02
epoch: 19, lr: 1.07e-01 - train loss: 3.20 - valid loss: 4.02, valid CER: 85.25, valid WER: 1.10e+02
epoch: 20, lr: 8.59e-02 - train loss: 3.18 - valid loss: 4.00, valid CER: 83.53, valid WER: 1.06e+02
epoch: 21, lr: 8.59e-02 - train loss: 3.13 - valid loss: 3.99, valid CER: 82.97, valid WER: 1.04e+02
epoch: 22, lr: 8.59e-02 - train loss: 3.11 - valid loss: 3.98, valid CER: 82.67, valid WER: 1.03e+02
epoch: 23, lr: 8.59e-02 - train loss: 3.10 - valid loss: 3.98, valid CER: 84.14, valid WER: 1.06e+02
epoch: 24, lr: 6.87e-02 - train loss: 3.06 - valid loss: 3.96, valid CER: 82.11, valid WER: 1.01e+02
epoch: 25, lr: 6.87e-02 - train loss: 3.06 - valid loss: 3.96, valid CER: 83.10, valid WER: 1.03e+02
epoch: 26, lr: 5.50e-02 - train loss: 3.05 - valid loss: 3.94, valid CER: 81.56, valid WER: 1.00e+02
epoch: 27, lr: 5.50e-02 - train loss: 3.02 - valid loss: 3.94, valid CER: 81.81, valid WER: 99.66
epoch: 28, lr: 4.40e-02 - train loss: 3.01 - valid loss: 3.94, valid CER: 81.87, valid WER: 1.00e+02
epoch: 29, lr: 3.52e-02 - train loss: 3.00 - valid loss: 3.94, valid CER: 81.75, valid WER: 1.00e+02
epoch: 30, lr: 2.81e-02 - train loss: 2.99 - valid loss: 3.92, valid CER: 81.87, valid WER: 99.66
epoch: 31, lr: 2.25e-02 - train loss: 3.00 - valid loss: 3.93, valid CER: 82.11, valid WER: 1.00e+02
epoch: 32, lr: 1.80e-02 - train loss: 2.97 - valid loss: 3.92, valid CER: 82.05, valid WER: 99.66
epoch: 33, lr: 1.44e-02 - train loss: 2.97 - valid loss: 3.91, valid CER: 81.99, valid WER: 99.66
epoch: 34, lr: 1.15e-02 - train loss: 2.97 - valid loss: 3.92, valid CER: 82.18, valid WER: 99.66
epoch: 35, lr: 9.22e-03 - train loss: 2.98 - valid loss: 3.91, valid CER: 82.30, valid WER: 98.99
epoch: 36, lr: 7.38e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.42, valid WER: 99.33
epoch: 37, lr: 5.90e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.36, valid WER: 99.66
epoch: 38, lr: 4.72e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.54, valid WER: 99.66
epoch: 39, lr: 3.78e-03 - train loss: 2.94 - valid loss: 3.91, valid CER: 82.79, valid WER: 99.66
epoch: 40, lr: 3.02e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.54, valid WER: 99.66
epoch: 41, lr: 3.02e-03 - train loss: 2.96 - valid loss: 3.91, valid CER: 82.61, valid WER: 99.66
epoch: 42, lr: 2.42e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.79, valid WER: 99.66
epoch: 43, lr: 1.93e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.54, valid WER: 99.33
epoch: 44, lr: 1.93e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.42, valid WER: 99.33
epoch: 45, lr: 1.55e-03 - train loss: 2.95 - valid loss: 3.91, valid CER: 82.73, valid WER: 99.66
