epoch: 1, lr: 1.00e+00 - train loss: 7.50 - valid loss: 5.88, valid CER: 1.17e+02, valid WER: 1.82e+02
epoch: 2, lr: 1.00e+00 - train loss: 5.78 - valid loss: 5.64, valid CER: 94.36, valid WER: 97.81
epoch: 3, lr: 1.00e+00 - train loss: 5.64 - valid loss: 5.56, valid CER: 4.99e+02, valid WER: 1.83e+03
epoch: 4, lr: 8.00e-01 - train loss: 5.56 - valid loss: 5.32, valid CER: 89.43, valid WER: 97.03
epoch: 5, lr: 8.00e-01 - train loss: 5.52 - valid loss: 5.33, valid CER: 4.99e+02, valid WER: 1.83e+03
epoch: 6, lr: 6.40e-01 - train loss: 5.12 - valid loss: 5.16, valid CER: 79.85, valid WER: 98.70
epoch: 7, lr: 6.40e-01 - train loss: 5.03 - valid loss: 5.11, valid CER: 1.15e+02, valid WER: 1.77e+02
epoch: 8, lr: 5.12e-01 - train loss: 4.95 - valid loss: 5.04, valid CER: 1.15e+02, valid WER: 1.77e+02
epoch: 9, lr: 4.10e-01 - train loss: 4.88 - valid loss: 4.98, valid CER: 1.16e+02, valid WER: 1.80e+02
epoch: 10, lr: 3.28e-01 - train loss: 4.82 - valid loss: 4.95, valid CER: 1.15e+02, valid WER: 1.81e+02
epoch: 11, lr: 3.28e-01 - train loss: 4.78 - valid loss: 4.93, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 12, lr: 2.62e-01 - train loss: 4.73 - valid loss: 4.91, valid CER: 1.18e+02, valid WER: 1.86e+02
epoch: 13, lr: 2.10e-01 - train loss: 4.69 - valid loss: 4.88, valid CER: 1.17e+02, valid WER: 1.85e+02
epoch: 14, lr: 1.68e-01 - train loss: 4.66 - valid loss: 4.87, valid CER: 1.17e+02, valid WER: 1.85e+02
epoch: 15, lr: 1.34e-01 - train loss: 4.64 - valid loss: 4.86, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 16, lr: 1.34e-01 - train loss: 4.62 - valid loss: 4.85, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 17, lr: 1.07e-01 - train loss: 4.60 - valid loss: 4.84, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 18, lr: 8.59e-02 - train loss: 4.58 - valid loss: 4.84, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 19, lr: 6.87e-02 - train loss: 4.56 - valid loss: 4.83, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 20, lr: 5.50e-02 - train loss: 4.55 - valid loss: 4.83, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 21, lr: 4.40e-02 - train loss: 4.54 - valid loss: 4.83, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 22, lr: 3.52e-02 - train loss: 4.53 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 23, lr: 2.81e-02 - train loss: 4.53 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 24, lr: 2.25e-02 - train loss: 4.52 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 25, lr: 1.80e-02 - train loss: 4.52 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 26, lr: 1.44e-02 - train loss: 4.52 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.84e+02
epoch: 27, lr: 1.15e-02 - train loss: 4.51 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 28, lr: 9.22e-03 - train loss: 4.51 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 29, lr: 7.38e-03 - train loss: 4.51 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 30, lr: 5.90e-03 - train loss: 4.51 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 31, lr: 4.72e-03 - train loss: 4.51 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 32, lr: 3.78e-03 - train loss: 4.50 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 33, lr: 3.02e-03 - train loss: 4.50 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 34, lr: 2.42e-03 - train loss: 4.50 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 35, lr: 1.93e-03 - train loss: 4.50 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 36, lr: 1.55e-03 - train loss: 4.50 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 37, lr: 1.24e-03 - train loss: 4.49 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
epoch: 38, lr: 9.90e-04 - train loss: 4.49 - valid loss: 4.82, valid CER: 1.17e+02, valid WER: 1.83e+02
