epoch: 1, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 2.49e-01 - valid loss: 3.03e-02, valid CER: 5.09e-01, valid WER: 2.06
epoch: 2, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 1.82e-01 - valid loss: 2.96e-02, valid CER: 4.30e-01, valid WER: 1.65
epoch: 3, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 1.71e-01 - valid loss: 2.79e-02, valid CER: 4.29e-01, valid WER: 1.63
epoch: 4, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 1.67e-01 - valid loss: 3.07e-02, valid CER: 4.31e-01, valid WER: 1.67
epoch: 5, lr_model: 7.20e-01, lr_wav2vec: 9.00e-05 - train loss: 1.59e-01 - valid loss: 2.69e-02, valid CER: 4.31e-01, valid WER: 1.66
epoch: 6, lr_model: 7.20e-01, lr_wav2vec: 9.00e-05 - train loss: 1.59e-01 - valid loss: 2.31e-02, valid CER: 4.26e-01, valid WER: 1.61
epoch: 7, lr_model: 7.20e-01, lr_wav2vec: 9.00e-05 - train loss: 1.55e-01 - valid loss: 3.20e-02, valid CER: 5.01e-01, valid WER: 2.33
epoch: 8, lr_model: 5.76e-01, lr_wav2vec: 8.10e-05 - train loss: 1.52e-01 - valid loss: 2.37e-02, valid CER: 4.22e-01, valid WER: 1.61
epoch: 9, lr_model: 5.76e-01, lr_wav2vec: 8.10e-05 - train loss: 1.51e-01 - valid loss: 2.51e-02, valid CER: 4.27e-01, valid WER: 1.62
epoch: 10, lr_model: 4.61e-01, lr_wav2vec: 7.29e-05 - train loss: 1.48e-01 - valid loss: 2.31e-02, valid CER: 4.24e-01, valid WER: 1.62
epoch: 11, lr_model: 4.61e-01, lr_wav2vec: 7.29e-05 - train loss: 1.48e-01 - valid loss: 2.29e-02, valid CER: 4.23e-01, valid WER: 1.62
epoch: 12, lr_model: 4.61e-01, lr_wav2vec: 7.29e-05 - train loss: 1.46e-01 - valid loss: 2.32e-02, valid CER: 4.29e-01, valid WER: 1.63
