epoch: 1, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 2.48 - valid loss: 1.67, valid CER: 34.19, valid WER: 69.84
epoch: 2, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 2.28 - valid loss: 1.63, valid CER: 33.26, valid WER: 68.36
epoch: 3, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 2.23 - valid loss: 1.59, valid CER: 33.40, valid WER: 66.58
epoch: 4, lr_model: 9.00e-01, lr_wav2vec: 1.00e-04 - train loss: 2.20 - valid loss: 1.61, valid CER: 33.09, valid WER: 67.29
epoch: 5, lr_model: 7.20e-01, lr_wav2vec: 9.00e-05 - train loss: 2.18 - valid loss: 1.54, valid CER: 32.21, valid WER: 65.98
epoch: 6, lr_model: 7.20e-01, lr_wav2vec: 9.00e-05 - train loss: 2.16 - valid loss: 1.54, valid CER: 32.27, valid WER: 66.17
epoch: 7, lr_model: 5.76e-01, lr_wav2vec: 8.10e-05 - train loss: 2.15 - valid loss: 1.55, valid CER: 31.66, valid WER: 65.76
epoch: 8, lr_model: 4.61e-01, lr_wav2vec: 7.29e-05 - train loss: 2.13 - valid loss: 1.53, valid CER: 31.41, valid WER: 64.94
epoch: 9, lr_model: 4.61e-01, lr_wav2vec: 7.29e-05 - train loss: 2.12 - valid loss: 1.54, valid CER: 31.74, valid WER: 64.92
epoch: 10, lr_model: 3.69e-01, lr_wav2vec: 6.56e-05 - train loss: 2.11 - valid loss: 1.53, valid CER: 31.11, valid WER: 64.83
epoch: 11, lr_model: 3.69e-01, lr_wav2vec: 6.56e-05 - train loss: 2.10 - valid loss: 1.52, valid CER: 31.24, valid WER: 65.14
epoch: 12, lr_model: 3.69e-01, lr_wav2vec: 6.56e-05 - train loss: 2.11 - valid loss: 1.54, valid CER: 31.35, valid WER: 64.84
epoch: 13, lr_model: 2.95e-01, lr_wav2vec: 5.90e-05 - train loss: 2.10 - valid loss: 1.52, valid CER: 31.17, valid WER: 64.88
epoch: 14, lr_model: 2.95e-01, lr_wav2vec: 5.90e-05 - train loss: 2.09 - valid loss: 1.50, valid CER: 30.59, valid WER: 64.41
epoch: 15, lr_model: 2.95e-01, lr_wav2vec: 5.90e-05 - train loss: 2.09 - valid loss: 1.50, valid CER: 30.51, valid WER: 64.49
epoch: 16, lr_model: 2.36e-01, lr_wav2vec: 5.31e-05 - train loss: 2.09 - valid loss: 1.50, valid CER: 30.81, valid WER: 64.05
epoch: 17, lr_model: 2.36e-01, lr_wav2vec: 5.31e-05 - train loss: 2.09 - valid loss: 1.52, valid CER: 30.45, valid WER: 63.81
epoch: 18, lr_model: 1.89e-01, lr_wav2vec: 4.78e-05 - train loss: 2.08 - valid loss: 1.49, valid CER: 30.47, valid WER: 64.13
epoch: 19, lr_model: 1.89e-01, lr_wav2vec: 4.78e-05 - train loss: 2.08 - valid loss: 1.49, valid CER: 30.46, valid WER: 63.76
epoch: 20, lr_model: 1.51e-01, lr_wav2vec: 4.30e-05 - train loss: 2.08 - valid loss: 1.48, valid CER: 30.47, valid WER: 63.61
epoch: 21, lr_model: 1.51e-01, lr_wav2vec: 4.30e-05 - train loss: 2.07 - valid loss: 1.47, valid CER: 30.22, valid WER: 63.51
epoch: 22, lr_model: 1.21e-01, lr_wav2vec: 3.87e-05 - train loss: 2.07 - valid loss: 1.46, valid CER: 30.26, valid WER: 63.13
epoch: 23, lr_model: 1.21e-01, lr_wav2vec: 3.87e-05 - train loss: 2.07 - valid loss: 1.47, valid CER: 30.20, valid WER: 63.15
epoch: 24, lr_model: 9.66e-02, lr_wav2vec: 3.49e-05 - train loss: 2.07 - valid loss: 1.47, valid CER: 30.33, valid WER: 63.36
epoch: 25, lr_model: 9.66e-02, lr_wav2vec: 3.49e-05 - train loss: 2.06 - valid loss: 1.48, valid CER: 30.31, valid WER: 63.30
epoch: 26, lr_model: 7.73e-02, lr_wav2vec: 3.14e-05 - train loss: 2.07 - valid loss: 1.46, valid CER: 29.92, valid WER: 62.12
