Name of Event,Category,Date(s),Location,Estimated Size of Event,Number of People/ Capacity of Space,Source for # People,Source Org Title,Article Title,Mention of Police Presence (Y/N),Source for police presence,Official Media Presence,Notes_x,Source 1 URL,Source 2 URL,Address,Venue Capacity,Venue Type,Completed,Main Source for Search,Notes_y,Source,Latitude,Longitude
LANY,Music,2018-08-01 00:00:00,Bottom Lounge,Small,330,https://bottomlounge.com/bottom-lounge-for-private-events/,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=155#concert-table,,,,,,,,,,
Grace Weber / Malcolm London - Lollapalooza Afterwshow,Music,2018-08-01 00:00:00,Lincoln Hall,Medium,500,https://chicagomusic.fandom.com/wiki/Lincoln_Hall,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=155#concert-table,,,,,,,,,,
Chase Atlantic,Music,2018-08-01 00:00:00,Reggies,Small,300,https://www.songkick.com/concerts/39931428-dri-at-reggies-rock-club,Concert Archives,Chicago's Concert History,,,,"venue looks somewhat small, so I don't think this was a very big event",https://www.concertarchives.org/locations/chicago-il?page=155#concert-table,,,,,,,,,,
Alison Wonderland,Music,2018-08-24 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/alison-wonderland-263fc0f4-b14f-40a6-8e0e-27d7025c852f,https://www.jambase.com/show/alison-wonderland-aragon-ballroom-20180824,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
"Virtual Self ""Utopia System""",Music,2018-09-07 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/virtual-self-utopia-system,https://www.chicago-theater.com/theaters/aragon-ballroom/porter-robinson-virtual-self.php,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
The Spill Canvas / Punchline / Selfish Things,Music,2018-08-11 00:00:00,Bottom Lounge,,330,https://bottomlounge.com/bottom-lounge-for-private-events/,Concert Archives,The Spill Canvas / Punchline / Selfish Things,,,,,https://www.concertarchives.org/concerts/the-spill-canvas-punchline-selfish-things-139ead0d-3dad-4e75-b9a7-c401c1e5a00a,,,,,,,,,,
5 Seconds of Summer / The Aces,Music,2018-09-08 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/5-seconds-of-summer-the-aces,https://www.setlist.fm/setlist/5-seconds-of-summer/2018/aragon-ballroom-chicago-il-6be9ba92.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Franz Ferdinand / The Slaps,Music,2018-08-01 00:00:00,Park West,Medium,1000,https://www.eventective.com/chicago-il/park-west-402711.html,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/concerts/franz-ferdinand-the-slaps,https://do312.com/events/2018/8/1/franz-ferdinand,"322 W Armitage Ave, Chicago, IL 60614",1000.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://www.eventective.com/chicago-il/park-west-402711.html,41.918567,-87.637434
Cloud Nothings at Goose Island,Music,2018-08-02 00:00:00,Goose Island - Fulton Street,Small,225,https://www.gooseisland.com/barrel-house,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=154#concert-table,,,,,,,,,,
SIGRID W/ HOUSES,Music,2019-08-01 00:00:00,Thalia Hall,Medium,800,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,,,,,,,https://do312.com/events/2019/8/1/sigrid-w-houses,https://www.312area.com/chicago/little-italy/events/406495/sigrid-with-houses---official-lollapalooza-aftershow-%40-thalia-hall.htm,"1807 S Allport St, Chicago, IL 60608",800.0,Music,Yes,"Concert Archives, do312, ESPN",,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,41.857681,-87.657392
